"3bd6c6c3-bb61-46f3-b19a-c87ac5502bb7";"Dozen(s)";"Dozen(s) of items";12;;"5beb6eed-33a9-47b8-9ede-1dfe8f679159"
"3cc51ae9-b993-4a3d-964e-0aed8d7f3966";"t*mi";"Metric tonne times international mile";1.609344;;"838aaa21-0117-11db-92e3-0800200c9a66"
"3ce61faa-5716-41c1-aef6-b5920054acc9";"m2";"Square metre";1;"m²";"93a60a57-a3c8-18da-a746-0800200c9a66"
"3d314eab-ef11-4ff3-a35e-9bc5cd858694";"m";"Metre";1;;"838aaa22-0117-11db-92e3-0800200c9a66"
"3f838c0d-bf6c-49f1-a465-d256ab0d13eb";"USD 2000";"US dollar";1.1;"$";"da299c4d-1741-4da8-9fbd-5ccfb5e1d688"
"425aff51-b7e5-4561-aa5a-562ec103a79e";"TOE";"Tonne oil equivalent";41868;;"93a60a57-a3c8-11da-a746-0800200c9a66"
"431df202-da83-4baa-b576-5d17f59f0c8a";"gal (US fl)";"Gallon (US fluid); used in US e.g. for fuel";0.00379;;"93a60a57-a3c8-12da-a746-0800200c9a66"
"4669b8ce-894d-405a-95d1-3211accaa739";"Nm3";"Normal cubic metres";1;"Nm³";"93a60a57-a3c8-12da-a746-0800200c9a66"
"4689d28c-29f6-4f0a-ad03-0276f7070edd";"nmi2";"Square nautical mile";3429904;;"93a60a57-a3c8-18da-a746-0800200c9a66"
"46930fb7-8660-42a4-983e-19cf53da740b";"cm3";"Cubic centimetres";1e-06;;"93a60a57-a3c8-12da-a746-0800200c9a66"
"469d61f1-3bc4-4841-8adf-873825c1bc11";"J";"Joule";1e-06;;"93a60a57-a3c8-11da-a746-0800200c9a66"
"4866ec7b-6218-4783-87b4-cbd107280a85";"ha*a";"Hectare times year";10000;"ha a";"93a60a57-a3c8-20da-a746-0800200c9a66"
"4a51d52b-f94f-4168-a38c-c612f14b8a2d";"mi";"International mile";1609.34;"mile";"838aaa22-0117-11db-92e3-0800200c9a66"
"5042a5e9-b8fd-40ca-b13e-cb9f1ce0357a";"m3*km";"Cubic metre times kilometre";1;;"ff8ed45d-bbfb-4531-8c7b-9b95e52bd41d"
"505845e0-3f71-46d4-acfa-8c4ed8d3c305";"mm3";"Cubic millimetres";1e-09;;"93a60a57-a3c8-12da-a746-0800200c9a66"
"5209be3d-094e-4203-a074-06d7b75e9a38";"t*d";"Metric tonne times day (1 year = 365 days)";2.73;;"59f191d6-5dd3-4553-af88-1a32accfe308"
"52765a6c-3896-43c2-b2f4-c679acf13efe";"MJ";"Megajoule";1;;"93a60a57-a3c8-11da-a746-0800200c9a66"
"5458351a-f6f7-4e0b-a449-823c9b6374db";"lb*mi";"British pound (avoirdupois) times international mile";0.00073;;"838aaa21-0117-11db-92e3-0800200c9a66"
"55244053-94ba-404e-9172-cb279d905e00";"btu";"British thermal unit (International table)";0.00106;;"93a60a57-a3c8-11da-a746-0800200c9a66"
"56f42b51-bb05-4dcd-a069-0693f167304c";"dr (Av)";"Dram (Avoirdupois)";0.001771845;;"93a60a57-a4c8-11da-a746-0800200c9a66"
"57c492e7-d94b-4fcc-98df-cdc4163b754c";"TJ";"Terajoule";1000000;;"93a60a57-a3c8-11da-a746-0800200c9a66"
"588613d5-6c8c-4ab6-8c69-ec5e20ef7881";"cm2";"Square centimetre";0.0001;;"93a60a57-a3c8-18da-a746-0800200c9a66"
"594fb96f-0d06-4053-9263-826fcd4d0046";"SEK 2000";"Swedish krona";0.12;;"da299c4d-1741-4da8-9fbd-5ccfb5e1d688"
"5ec65531-6bb4-4990-a687-44e9ab8f3529";"bsh (US)";"US bushel";0.03;;"93a60a57-a3c8-12da-a746-0800200c9a66"
"626c92d5-dcc2-40d4-b28b-4a4f82123740";"dl";"Decilitre";0.0001;"dL";"93a60a57-a3c8-12da-a746-0800200c9a66"
"62eb6f51-0574-4489-ae1a-1bd806f6c2ac";"gal (US liq)";"Gallon (US liquid)";0.00379;"gal*";"93a60a57-a3c8-12da-a746-0800200c9a66"
"63214902-17d4-41a0-be10-d1cad375c32e";"ng";"Nanogram";1e-12;;"93a60a57-a4c8-11da-a746-0800200c9a66"
"68c83ad3-bc5b-414a-81f7-5b47af2c8a23";"pg";"Picogram; 10^-12 g";1e-15;;"93a60a57-a4c8-11da-a746-0800200c9a66"
"691ae73c-3fc1-4157-85d0-2659bdc2380a";"(cmol*m2)/kg";"Centimole times square metre per kilogram";1;;"3dbb60e1-edde-49f7-b28d-f34b4af727b3"
"6a7531d3-3b83-4dda-8b18-4e3528491f9e";"in3";"Cubic inches";1.64e-05;"cu.in";"93a60a57-a3c8-12da-a746-0800200c9a66"
"6c277db7-2784-4296-83bf-15c04a9d59b2";"JPY 2000";"Japanese yen";0.01;"Yen2000";"da299c4d-1741-4da8-9fbd-5ccfb5e1d688"
"6c4b1e4a-bf45-4385-a60c-12cc48ecbab5";"yd2";"Square yard (imperial/US)";0.83;"sq.yd";"93a60a57-a3c8-18da-a746-0800200c9a66"
"6dabe201-aaac-4509-92f0-d00c26cb72ab";"Item(s)";"Number of items";1;"unit;LU;pig place;p";"5beb6eed-33a9-47b8-9ede-1dfe8f679159"
"702d94e7-fbae-4a99-a2f5-b26db21126d6";"p*mi";"Person * mile";1.6;"pmi";"11d161f0-37e3-4d49-bf7a-ff4f31a9e5c7"
"71326000-165d-41fb-aea9-1bfbd9d7fc6c";"ZAR 2000";"South African rand";0.15;;"da299c4d-1741-4da8-9fbd-5ccfb5e1d688"
"715ca68e-0ac5-4c4b-b557-fdc36623be88";"km";"Kilometre";1000;;"838aaa22-0117-11db-92e3-0800200c9a66"
"72ef94e2-bf0c-4e85-a74c-f3b5ed1bd73e";"dr (Fl)";"Dram (Fluid)";3.7e-06;;"93a60a57-a3c8-12da-a746-0800200c9a66"
"7642bdc2-cdfa-4cc5-9e12-2255f561842a";"pk";"Peck";0.008809768;;"93a60a57-a3c8-12da-a746-0800200c9a66"
"787f2ac9-7bcd-4a91-9fab-55bfe414138f";"TCE";"Tonne coal equivalent";29307.6;;"93a60a57-a3c8-11da-a746-0800200c9a66"
"78af80e7-ede4-4a65-b04d-97d9ce4f39d3";"gr";"Grain";6.48e-05;;"93a60a57-a4c8-11da-a746-0800200c9a66"
"7d082bce-60f5-4588-86bb-56e0dff1c8a8";"mi*a";"Miles * year";1609.35;"miy";"326eb58b-e5b3-4cea-b45a-2398c25109f8"
"7dd57df4-c092-41aa-966e-c93a27797ea1";"t*nmi";"Metric tonne times nautical mile";1.85;;"838aaa21-0117-11db-92e3-0800200c9a66"
"806c64aa-8609-4ff6-a033-6714a3348f24";"fl oz (Imp)";"Fluid ounce (Imperial)";2.84e-05;;"93a60a57-a3c8-12da-a746-0800200c9a66"
"81696a66-6919-4bbb-a3ab-c79b2900de7d";"ml";"Millilitre";1e-06;"mL";"93a60a57-a3c8-12da-a746-0800200c9a66"
"83192ffa-5990-490b-a23a-b45ca072db6f";"t";"Tonne";1000;"Mg;ton";"93a60a57-a4c8-11da-a746-0800200c9a66"
"845178d8-3f2c-497f-9ca6-3c5657c2823c";"s";"Second";1.16e-05;;"af638906-3ec7-4314-8de7-f76039f2dd01"
"8632c804-eed7-4a57-91e6-1798289c49e3";"CHF 2000";"Swiss franc";0.64;;"da299c4d-1741-4da8-9fbd-5ccfb5e1d688"
"86ad2244-1f0e-4912-af53-7865283103e4";"kWh";"Kilowatt times hour";3.6;;"93a60a57-a3c8-11da-a746-0800200c9a66"
